Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
airbus se,https://permid.org/1-4295884955,Airbus SE,92.00%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92.00%,Excellent,TRUE,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
leonardo spa,https://permid.org/1-4295875430,Leonardo SpA,92.00%,Excellent,leonardo,https://permid.org/1-4295875430,Leonardo SpA,92.00%,Excellent,TRUE,Aerospace & Defense,Industrial Goods,Industrials,Italy,Italy,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
mtu aero engines ag,https://permid.org/1-4295868681,MTU Aero Engines AG,92.00%,Excellent,mtu aero engines,https://permid.org/1-4295868681,MTU Aero Engines AG,92.00%,Excellent,TRUE,Aerospace & Defense,Industrial Goods,Industrials,Germany,Germany,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
safran sa,https://permid.org/1-4295867343,Safran SA,92.00%,Excellent,safran,https://permid.org/1-4295867343,Safran SA,92.00%,Excellent,TRUE,Aerospace & Defense,Industrial Goods,Industrials,France,France,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
thales,https://permid.org/1-4295866846,Thales SA,92.00%,Excellent,thale,,,,No Match,FALSE,Aerospace & Defense,Industrial Goods,Industrials,France,France,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18.00%,Possible,compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
continental ag,https://permid.org/1-4295869236,Continental AG,92.00%,Excellent,continental,https://permid.org/1-4295869236,Continental AG,59.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
daimler ag,https://permid.org/1-4295869694,Daimler AG,92.00%,Excellent,daimler,https://permid.org/1-4295869694,Daimler AG,92.00%,Excellent,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
exor nv,https://permid.org/1-5052536757,Exor NV,92.00%,Excellent,exor,https://permid.org/1-5052536757,Exor NV,19.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
hella gmbh  co kgaa,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,76.00%,Good,hella gmbh  co,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,23.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
renault sa,https://permid.org/1-4295867385,Renault SA,92.00%,Excellent,renault,https://permid.org/1-4295867385,Renault SA,92.00%,Excellent,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
robert bosch gmbh,https://permid.org/1-4295869214,Robert Bosch GmbH,92.00%,Excellent,robert bosch,https://permid.org/1-4295869214,Robert Bosch GmbH,45.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
schaeffler ag,https://permid.org/1-5045949737,Schaeffler AG,92.00%,Excellent,schaeffler,https://permid.org/1-5045949737,Schaeffler AG,92.00%,Excellent,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
stellantis nv,https://permid.org/1-5043319761,Stellantis NV,92.00%,Excellent,stellanti,,,,No Match,FALSE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
valeo sa,https://permid.org/1-4295867394,Valeo SE,92.00%,Excellent,valeo,https://permid.org/1-4295867394,Valeo SE,92.00%,Excellent,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
