Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description,green
airbus se,https://permid.org/1-4295884955,Airbus SE,92.00%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92.00%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,521010.0,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites.",0
leonardo spa,https://permid.org/1-4295875430,Leonardo SpA,92.00%,Excellent,leonardo,https://permid.org/1-4295875430,Leonardo SpA,92.00%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Italy,Italy,521010.0,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites.",0
mtu aero engines ag,https://permid.org/1-4295868681,MTU Aero Engines AG,92.00%,Excellent,mtu aero engines,https://permid.org/1-4295868681,MTU Aero Engines AG,92.00%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Germany,Germany,521010.0,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites.",0
safran sa,https://permid.org/1-4295867343,Safran SA,92.00%,Excellent,safran,https://permid.org/1-4295867343,Safran SA,92.00%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,France,France,521010.0,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites.",0
thales,https://permid.org/1-4295866846,Thales SA,92.00%,Excellent,thale,,,,No Match,False,Aerospace & Defense,Industrial Goods,Industrials,France,France,521010.0,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites.",0
compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18.00%,Possible,compagnie generale des etablissements michelin clermont ferrand,https://permid.org/1-4295867411,Compagnie Generale des Etablissements Michelin SCA,18.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
continental ag,https://permid.org/1-4295869236,Continental AG,92.00%,Excellent,continental,https://permid.org/1-4295869236,Continental AG,59.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
daimler ag,https://permid.org/1-4295869694,Daimler AG,92.00%,Excellent,daimler,https://permid.org/1-4295869694,Daimler AG,92.00%,Excellent,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
exor nv,https://permid.org/1-5052536757,Exor NV,92.00%,Excellent,exor,https://permid.org/1-5052536757,Exor NV,19.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
hella gmbh  co kgaa,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,76.00%,Good,hella gmbh  co,https://permid.org/1-4298169984,HELLA GmbH & Co KGaA,23.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
renault sa,https://permid.org/1-4295867385,Renault SA,92.00%,Excellent,renault,https://permid.org/1-4295867385,Renault SA,92.00%,Excellent,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
robert bosch gmbh,https://permid.org/1-4295869214,Robert Bosch GmbH,92.00%,Excellent,robert bosch,https://permid.org/1-4295869214,Robert Bosch GmbH,45.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
schaeffler ag,https://permid.org/1-5045949737,Schaeffler AG,92.00%,Excellent,schaeffler,https://permid.org/1-5045949737,Schaeffler AG,92.00%,Excellent,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Germany,Germany,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
stellantis nv,https://permid.org/1-5043319761,Stellantis NV,92.00%,Excellent,stellanti,,,,No Match,False,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
valeo sa,https://permid.org/1-4295867394,Valeo SE,92.00%,Excellent,valeo,https://permid.org/1-4295867394,Valeo SE,92.00%,Excellent,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,France,France,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
volkswagen intl finance nv,https://permid.org/1-4296694478,Volkswagen International Finance NV,92.00%,Excellent,volkswagen intl finance,https://permid.org/1-4296694478,Volkswagen International Finance NV,59.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
zf europe finance bv,https://permid.org/1-5066539297,ZF Europe Finance BV,92.00%,Excellent,zf europe finance,https://permid.org/1-5066539297,ZF Europe Finance BV,56.00%,Possible,True,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010.0,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",1
amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92.00%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92.00%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22.00%,Possible,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92.00%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92.00%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
bp capital markets bv,https://permid.org/1-5076380855,BP Capital Markets BV,92.00%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36.00%,Possible,False,Banking Services,Banking & Investment Services,Financials,United Kingdom,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
bp capital markets plc,https://permid.org/1-4296765192,BP Capital Markets PLC,92.00%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36.00%,Possible,False,Banking Services,Banking & Investment Services,Financials,United Kingdom,United Kingdom,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
bunge finance europe bv,https://permid.org/1-5000214282,Bunge Finance Europe BV,92.00%,Excellent,bunge finance europe,https://permid.org/1-5000214282,Bunge Finance Europe BV,60.00%,Good,True,Banking Services,Banking & Investment Services,Financials,United States,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
cellnex finance company sau,,,,No Match,cellnex finance company,https://permid.org/1-5079192042,Cellnex Finance Company SA,92.00%,Excellent,False,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
conti gummi finance bv,https://permid.org/1-4296561684,Conti Gummi Finance BV,92.00%,Excellent,conti gummi finance,https://permid.org/1-4296561684,Conti Gummi Finance BV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
crh finance dac,https://permid.org/1-5052139913,CRH Finance DAC,92.00%,Excellent,crh finance,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551000.0,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",0
crh smw finance dac,https://permid.org/1-5074210015,CRH SMW Finance DAC,92.00%,Excellent,crh smw finance,https://permid.org/1-5074210015,CRH SMW Finance DAC,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
daa finance plc,https://permid.org/1-4296837653,Daa Finance PLC,92.00%,Excellent,daa finance,https://permid.org/1-4296837653,Daa Finance PLC,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
delta lloyd nv,https://permid.org/1-4297753012,Banque Nagelmackers NV,67.00%,Good,delta lloyd,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
deutsche bahn finance bv,https://permid.org/1-4296558761,Deutsche Bahn Finance BV,92.00%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83.00%,Good,False,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92.00%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92.00%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92.00%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92.00%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92.00%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92.00%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,France,France,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
ferrovial emisiones sa,https://permid.org/1-5038048731,Ferrovial Emisiones SA,92.00%,Excellent,ferrovial emisiones,https://permid.org/1-5038048731,Ferrovial Emisiones SA,78.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
firmenich productions participations sas,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,92.00%,Excellent,firmenich productions participations,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,73.00%,Good,True,Banking Services,Banking & Investment Services,Financials,France,France,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
givaudan finance europe bv,https://permid.org/1-5073623848,Givaudan Finance Europe BV,92.00%,Excellent,givaudan finance europe,https://permid.org/1-5073623848,Givaudan Finance Europe BV,66.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
glencore finance europe sa,https://permid.org/1-4295882975,Glencore Finance Europe SA,92.00%,Excellent,glencore finance europe,https://permid.org/1-5057819876,Glencore Finance (Europe) Ltd,74.00%,Good,False,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
heimstaden bostad treasury bv,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,92.00%,Excellent,heimstaden bostad treasury,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,79.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
hella finance international bv,https://permid.org/1-5055943325,Hella Finance International BV,92.00%,Excellent,hella finance international,https://permid.org/1-5055943325,Hella Finance International BV,71.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
iberdrola finanzas sau,https://permid.org/1-4297231408,Iberdrola Finanzas SA,92.00%,Excellent,iberdrola finanzas,https://permid.org/1-4297231408,Iberdrola Finanzas SA,79.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
liberty mutual fineurope dac,https://permid.org/1-5055406275,Liberty Mutual Finance Europe DAC,15.00%,Possible,liberty mutual fineurope,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
lonza finance international nv,https://permid.org/1-5071534681,Lonza Finance International NV,92.00%,Excellent,lonza finance international,https://permid.org/1-5071534681,Lonza Finance International NV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
merck financial services gmbh,https://permid.org/1-4298412088,Merck Financial Services GmbH,92.00%,Excellent,merck financial services,https://permid.org/1-4298412088,Merck Financial Services GmbH,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Germany,Germany,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
metro finance bv,https://permid.org/1-4296555329,Metro Finance BV,92.00%,Excellent,metro finance,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
mohawk capital finance sa,https://permid.org/1-5057810770,Mohawk Capital Finance SA,92.00%,Excellent,mohawk capital finance,https://permid.org/1-5057810770,Mohawk Capital Finance SA,74.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
naturgy capital markets sa,https://permid.org/1-4297561247,Naturgy Capital Markets SA,92.00%,Excellent,naturgy capital markets,https://permid.org/1-4297561247,Naturgy Capital Markets SA,81.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
nestle finance intl ltd,https://permid.org/1-5000734981,Nestle Finance International Ltd SA,77.00%,Good,nestle finance intl,https://permid.org/1-5000734981,Nestle Finance International Ltd SA,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
paccar financial europe bv,https://permid.org/1-4295946639,Paccar Financial Europe BV,92.00%,Excellent,paccar financial europe,https://permid.org/1-4295946639,Paccar Financial Europe BV,68.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
partnerre ireland finance dac,https://permid.org/1-5051778025,Partnerre Ireland Finance DAC,92.00%,Excellent,partnerre ireland finance,https://permid.org/1-5051778025,Partnerre Ireland Finance DAC,38.00%,Possible,True,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
reckitt benckiser treasury services bv,https://permid.org/1-5074211269,Reckitt Benckiser Treasury Services (Nederland) BV,59.00%,Possible,reckitt benckiser treasury services,https://permid.org/1-5000027057,Reckitt Benckiser Treasury Services PLC,92.00%,Excellent,False,Banking Services,Banking & Investment Services,Financials,United Kingdom,United Kingdom,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
redexis gas finance bv,https://permid.org/1-5042223801,Redexis Gas Finance BV,92.00%,Excellent,redexis gas finance,https://permid.org/1-5042223801,Redexis Gas Finance BV,68.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
relx finance bv,https://permid.org/1-5046041361,RELX Finance BV,92.00%,Excellent,relx finance,https://permid.org/1-5046041361,RELX Finance BV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
ren finance bv,https://permid.org/1-5040232111,REN Finance BV,92.00%,Excellent,ren finance,https://permid.org/1-5040232111,REN Finance BV,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
sagax euro mtn nl bv,https://permid.org/1-5074857091,Sagax EURO MTN NL BV,92.00%,Excellent,sagax euro mtn nl,https://permid.org/1-5074857091,Sagax EURO MTN NL BV,71.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
sudzucker intl finance bv,https://permid.org/1-4296745954,Suedzucker International Finance BV,92.00%,Excellent,sudzucker intl finance,https://permid.org/1-4296745954,Suedzucker International Finance BV,80.00%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
swisscom finance bv,https://permid.org/1-5073962722,Swisscom Finance BV,92.00%,Excellent,swisscom finance,https://permid.org/1-5001186082,Swisscom Finance Ltd,92.00%,Excellent,False,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
telefonica emisiones sau,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92.00%,Excellent,telefonica emisiones,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92.00%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
total capital international sa,https://permid.org/1-5035956073,Total Capital International SA,92.00%,Excellent,total capital international,https://permid.org/1-5050919571,TCR International Ltd,25.00%,Possible,False,Banking Services,Banking & Investment Services,Financials,France,France,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
total capital sa,https://permid.org/1-4296676289,Total Capital SA,92.00%,Excellent,total capital,,,,No Match,False,Banking Services,Banking & Investment Services,Financials,France,France,551010.0,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking.",0
