Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
acs actde constry serv sa,,,,No Match,acs actde constry serv,,,,No Match,FALSE,Construction & Engineering,Industrial & Commercial Services,Industrials,Spain,Spain,522010,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
ado properties sa,https://permid.org/1-5076926658,ADO Properties S.A.,92.00%,Excellent,ado properties,https://permid.org/1-5076942662,ADO Properties GmbH,92.00%,Excellent,FALSE,Real Estate Operations,Real Estate,Real Estate,Luxembourg ,Luxembourg,601010,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35.00%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35.00%,Possible,TRUE,Chemicals,Chemicals,Basic Materials,France,France,511010,"Producers and refiners of agricultural, commodity and specialty chemicals."
airbus group finance bv,,,,No Match,airbus group finance,,,,No Match,FALSE,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,521010,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
auchan holding sa,,,,No Match,auchan holding,https://permid.org/1-5024332092,Auchan II Holding UK Ltd,13.00%,Possible,FALSE,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,France,France,543010,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores."
autostr bresvervicpad spa,,,,No Match,autostr bresvervicpad,,,,No Match,FALSE,Freight & Logistics Services,Transportation,Industrials,Italy,Italy,524050,"Providers of freight and logistics services by all means, such as air, marine and ground."
bmw finance nv,https://permid.org/1-4298251653,BMW Financial Services Belgium NV,23.00%,Possible,bmw finance,,,,No Match,FALSE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
ceetrus sa,https://permid.org/1-5057945093,Ceetrus Finance SA,49.00%,Possible,ceetrus,https://permid.org/1-5057945093,Ceetrus Finance SA,33.00%,Possible,TRUE,Construction & Engineering,Industrial & Commercial Services,Industrials,France,France,522010,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
cepsa finance saflds,,,,No Match,cepsa finance safld,,,,No Match,FALSE,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Spain,Spain,522030,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
ciba spc chem fin lxbg sa,,,,No Match,ciba spc chem fin lxbg,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
