Name1,Name2
2i rete gas spa,2i rete gas
a2a spa,a2a
abb finance bv,abb finance
abertis infraestructuras sa,abertis infraestructuras
acea spa,acea
achmea bv,achmea
acs actde constry serv sa,acs actde constry serv
acs servicios comunicaciones y energia sl,acs servicios comunicaciones y energia
adecco intl fin serv bv,adecco intl fin serv
adidas ag,adidas
adler group sa,adler group
ado properties sa,ado properties
aegon nv,aegon
aeroporti di roma spa,aeroporti di roma
aeroports de paris,aeroports de pari
air liquide finance,air liquide finance
air liquide sa,air liquide
air liquide sa etexplpgcl,air liquide
airbus group finance bv,airbus group finance
airbus se,airbus
akelius residential property finance bv,akelius residential property finance
akzo nobel nv,akzo nobel
albemarle new holding gmbh,albemarle new holding
alliander nv,alliander
allianz finance ii bv,allianz finance ii
alstom sa,alstom
alstria office reit ag,alstria office reit
altarea,altarea
altareit sca,altareit
amadeus capital markets sau,amadeus capital markets
amadeus it group sa,amadeus it group
amphenol technologies holding gmbh,amphenol technologies holding
anheuser busch inbev,anheuser busch inbev
anheuser busch inbev nv,anheuser busch inbev
anheuser busch inbev nvsa,anheuser busch inbev
anheuser busch inbev sanv,anheuser busch inbev
apetra nv,apetra
aprr,aprr
aprr sa,aprr
arcelormittal sa,arcelormittal
arkema sa,arkema
aroundtown sa,aroundtown
asml holding nv,asml holding
assicurazioni generali spa,assicurazioni generali
atf netherlands bv,atf netherlands
atlantia spa,atlantia
atlas copco finance dac,atlas copco finance
atos se,atos
auchan holding sa,auchan holding
autoroutes du sud de la france,autoroutes du sud de la france
autostr bresvervicpad spa,autostr bresvervicpad
autostrada brescia verona vicenza padova spa,autostrada brescia verona vicenza padova
autostrade per l italia spa,autostrade per l italia
autostrade per litalia spa,autostrade per litalia
axa sa,axa
balder finland oyj,balder finland
barry callebaut services nv,barry callebaut service
basf finance europe nv,basf finance europe
basf se,basf
bat netherlands finance bv,bat netherlands finance
bayer ag,bayer
bayer capital corp bv,bayer capital corp
befimmo sa,befimmo
beni stabili spa siiq,beni stabili spa siiq
bertelsmann se  co kgaa,bertelsmann se  co
bertelsmann se kgaa,bertelsmann se
bevco lux sarl,bevco lux
bmw finance nv,bmw finance
borealis ag,borealis
bouygues,bouygue
bouygues sa,bouygues
bp capital markets bv,bp capital markets
bp capital markets plc,bp capital markets
brenntag finance bv,brenntag finance
brisa concessao rodoviaria,brisa concessao rodoviaria
brussels airport company sanv,brussels airport company
bunge finance europe bv,bunge finance europe
buzzi unicem spa,buzzi unicem
ca immobilien anlagen ag,ca immobilien anlagen
cap gemini,cap gemini
carmila,carmila
carrefour sa,carrefour
caterpillar intl finance ltd,caterpillar intl finance
ceetrus sa,ceetrus
cellnex finance company sau,cellnex finance company
cellnex telecom sa,cellnex telecom
cepsa finance saflds,cepsa finance safld
ciba spc chem fin lxbg sa,ciba spc chem fin lxbg
citycon oyj,citycon
citycon treasury bv,citycon treasury
ck hutchison grp telefin sa,ck hutchison grp telefin
cnh industrial finance eurosa,cnh industrial finance euro
coca cola hbc finance bv,coca cola hbc finance
coentreprise de transport delectricite,coentreprise de transport delectricite
cofinimmo nv,cofinimmo
cofinimmo sanv,cofinimmo
compagnie de saint gobain sa,compagnie de saint gobain
compagnie fin ind autoroutes,compagnie fin ind autoroute
compagnie generale des etablissements michelin clermont ferrand,compagnie generale des etablissements michelin clermont ferrand
compass group finance netherlands bv,compass group finance netherlands
compass group international bv,compass group international
conti gummi finance bv,conti gummi finance
