Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName
2i rete gas spa,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,2i rete gas,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,True
a2a spa,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,a2a,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,True
abb finance bv,https://permid.org/1-5000066931,ABB Finance BV,92%,Excellent,abb finance,https://permid.org/1-4296359510,ABB Inc,20%,Possible,False
abertis infraestructuras sa,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,abertis infraestructuras,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,True
acea spa,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,acea,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,True
achmea bv,https://permid.org/1-8589934294,Achmea BV,92%,Excellent,achmea,https://permid.org/1-4296540298,Achmea Bank NV,25%,Possible,False
acs actde constry serv sa,,,,No Match,acs actde constry serv,,,,No Match,False
acs servicios comunicaciones y energia sl,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,acs servicios comunicaciones y energia,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,False
adecco intl fin serv bv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,adecco intl fin serv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,True
adidas ag,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,adidas,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,True
adler group sa,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,adler group,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,True
ado properties sa,https://permid.org/1-5076926658,ADO Properties S.A.,92%,Excellent,ado properties,https://permid.org/1-5076942662,ADO Properties GmbH,92%,Excellent,False
aegon nv,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,aegon,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,True
aeroporti di roma spa,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,aeroporti di roma,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,True
aeroports de paris,https://permid.org/1-4295867266,Aeroports de Paris SA,92%,Excellent,aeroports de pari,,,,No Match,False
air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,True
air liquide sa,https://permid.org/1-4295926500,Air Liquide Tunisie SA,72%,Good,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False
air liquide sa etexplpgcl,,,,No Match,air liquide,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,False
airbus group finance bv,,,,No Match,airbus group finance,,,,No Match,False
airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True
