Sentence ID,Company Name,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
0,2i rete gas spa,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,2i rete gas,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,True,Natural Gas Utilities,Utilities,Utilities,Italy,Italy,Producers and distributors of natural gas.
1,a2a spa,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,a2a,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,Generators and distributors of electric power.
2,a2a spa,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,a2a,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,"Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
3,abb finance bv,https://permid.org/1-5000066931,ABB Finance BV,92%,Excellent,abb finance,https://permid.org/1-4296359510,ABB Inc,20%,Possible,False,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,Netherlands,Netherlands,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
4,abertis infraestructuras sa,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,abertis infraestructuras,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,Spain,Spain,"Owners and operators of highways, rail tracks, airports, and marine ports."
5,acea spa,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,acea,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Producers and distributors of electric power, natural gas and combined heat and power."
6,acea spa,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,acea,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,"Includes utility companies with multiple operations in the supply of electricity; natural gas; water and district heating and cooling services, and other utility operations."
7,acea spa,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,acea,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,True,Multiline Utilities,Utilities,Utilities,Italy,Italy,Includes also utility infrastructure operators.
8,achmea bv,https://permid.org/1-8589934294,Achmea BV,92%,Excellent,achmea,https://permid.org/1-4296540298,Achmea Bank NV,25%,Possible,False,Insurance,Insurance,Financials,Netherlands,Netherlands,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
9,acs actde constry serv sa,,,,No Match,acs actde constry serv,,,,No Match,False,0,0,0,0,0,0
10,acs servicios comunicaciones y energia sl,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,acs servicios comunicaciones y energia,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,False,Construction & Engineering,Industrial & Commercial Services,Industrials,Spain,Spain,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects."
11,acs servicios comunicaciones y energia sl,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,acs servicios comunicaciones y energia,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,False,Construction & Engineering,Industrial & Commercial Services,Industrials,Spain,Spain,"Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings."
12,acs servicios comunicaciones y energia sl,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,acs servicios comunicaciones y energia,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,False,Construction & Engineering,Industrial & Commercial Services,Industrials,Spain,Spain,Includes also manufacturers of heavy machinery for permanent installation.
13,adecco intl fin serv bv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,adecco intl fin serv,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Netherlands,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
14,adidas ag,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,adidas,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,True,Textiles & Apparel,Cyclical Consumer Products,Consumer Cyclicals,Germany,Germany,"Manufacturers of fabrics, leather and other textiles, apparel, accessories and footwear."
15,adler group sa,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,adler group,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Developers and managers of real estate who build, rent and lease residential and commercial properties."
16,adler group sa,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,adler group,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
17,ado properties sa,https://permid.org/1-5076926658,ADO Properties S.A.,92%,Excellent,ado properties,https://permid.org/1-5076942662,ADO Properties GmbH,92%,Excellent,False,0,0,0,0,0,0
18,aegon nv,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,aegon,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,True,Insurance,Insurance,Financials,Netherlands,Netherlands,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
19,aeroporti di roma spa,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,aeroporti di roma,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
20,aeroports de paris,https://permid.org/1-4295867266,Aeroports de Paris SA,92%,Excellent,aeroports de pari,,,,No Match,False,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
21,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,air liquide finance,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,True,0,0,0,0,0,0
