ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,1,2,,,2i rete gas spa,,,,,,
OK,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,1,3,,,a2a spa,,,,,,
OK,https://permid.org/1-5000066931,ABB Finance BV,92%,Excellent,1,4,,,abb finance bv,,,,,,
OK,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,1,5,,,abertis infraestructuras sa,,,,,,
OK,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,1,6,,,acea spa,,,,,,
OK,https://permid.org/1-8589934294,Achmea BV,92%,Excellent,1,7,,,achmea bv,,,,,,
OK,,,,No Match,,8,,,acs actde constry serv sa,,,,,,
OK,https://permid.org/1-4298343692,ACS Servicios Comunicaciones y Energia SL,92%,Excellent,1,9,,,acs servicios comunicaciones y energia sl,,,,,,
OK,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",27%,Possible,1,10,,,acs servicios comunicaciones y energia sl madrid,,,,,,
OK,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,1,11,,,adecco intl fin serv bv,,,,,,
OK,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,1,12,,,adidas ag,,,,,,
OK,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,1,13,,,adler group sa,,,,,,
OK,https://permid.org/1-5076926658,ADO Properties S.A.,92%,Excellent,1,14,,,ado properties sa,,,,,,
OK,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,1,15,,,aegon nv,,,,,,
OK,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,1,16,,,aeroporti di roma spa,,,,,,
OK,https://permid.org/1-4295867266,Aeroports de Paris SA,92%,Excellent,1,17,,,aeroports de paris,,,,,,
OK,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,1,18,,,air liquide finance,,,,,,
OK,,,,No Match,,19,,,air liquide sa,,,,,,
OK,,,,No Match,,20,,,air liquidesa etexplpgcl,,,,,,
OK,,,,No Match,,21,,,airbus group finance bv,,,,,,
OK,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,1,22,,,airbus se,,,,,,
OK,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,1,23,,,akelius residential property finance bv,,,,,,
OK,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,1,24,,,akzo nobel nv,,,,,,
OK,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,1,25,,,albemarle new holding gmbh,,,,,,
OK,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,1,26,,,alliander nv,,,,,,
OK,https://permid.org/1-4296777983,Allianz Finance II BV,92%,Excellent,1,27,,,allianz finance ii bv,,,,,,
OK,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,1,28,,,alstom sa,,,,,,
OK,,,,No Match,,29,,,alstria office reitag,,,,,,
OK,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,1,30,,,altarea,,,,,,
OK,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,1,31,,,altareit sca,,,,,,
OK,https://permid.org/1-4295866910,Altareit SCA,37%,Possible,1,32,,,altareit sca paris,,,,,,
OK,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,1,33,,,amadeus capital markets sau,,,,,,
OK,,,,No Match,,34,,,amadeus it group sa madrid,,,,,,
OK,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92%,Excellent,1,35,,,amphenol technologies holding gmbh,,,,,,
OK,https://permid.org/1-5063771948,AnheuserBusch Inbev Africa Pty Ltd,31%,Possible,1,36,,,anheuserbusch inbev,,,,,,
OK,,,,No Match,,37,,,anheuserbusch inbev nv,,,,,,
OK,https://permid.org/1-5063771948,AnheuserBusch Inbev Africa Pty Ltd,12%,Possible,1,38,,,anheuserbusch inbev nvsa,,,,,,
OK,,,,No Match,,39,,,anheuserbusch inbev sanv,,,,,,
OK,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,1,40,,,apetra nv,,,,,,
OK,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,1,41,,,aprr,,,,,,
OK,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,1,42,,,aprr sa,,,,,,
OK,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,1,43,,,arcelormittal  sa,,,,,,
OK,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,1,44,,,arkema sa,,,,,,
OK,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,1,45,,,aroundtown sa,,,,,,
OK,https://permid.org/1-5057820156,Aroundtown SA,22%,Possible,1,46,,,aroundtown sa luxembourg,,,,,,
OK,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,1,47,,,asml holding nv,,,,,,
OK,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,1,48,,,assicurazioni generali spa,,,,,,
OK,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,1,49,,,atf netherlands bv,,,,,,
OK,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,1,50,,,atlantia spa,,,,,,
OK,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,1,51,,,atlas copco finance dac,,,,,,
OK,,,,No Match,,52,,,atos se bezons,,,,,,
OK,,,,No Match,,53,,,auchan holding sa,,,,,,
OK,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,1,54,,,autoroutes du sud de la france,,,,,,
OK,,,,No Match,,55,,,autostr bresvervicpad spa,,,,,,
OK,https://permid.org/1-4296668015,A4 Holding SpA,92%,Excellent,1,56,,,autostrada brescia verona vicenza padova spa,,,,,,
OK,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,17%,Possible,1,57,,,autostrade per l italia spa,,,,,,
OK,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,1,58,,,autostrade per litalia spa,,,,,,
OK,https://permid.org/1-4295867483,AXA SA,92%,Excellent,1,59,,,axa sa,,,,,,
OK,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,1,60,,,balder finland oyj,,,,,,
OK,https://permid.org/1-4297241934,Barry Callebaut Services NV,92%,Excellent,1,61,,,barry callebaut services nv,,,,,,
OK,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,1,62,,,basf finance europe nv,,,,,,
OK,https://permid.org/1-4295869198,BASF SE,92%,Excellent,1,63,,,basf se,,,,,,
OK,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,1,64,,,bat netherlands finance bv,,,,,,
OK,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,1,65,,,bayer ag,,,,,,
OK,https://permid.org/1-4296954345,Bayer Capital Corporation BV,92%,Excellent,1,66,,,bayer capital corp bv,,,,,,
OK,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,1,67,,,befimmo sa,,,,,,
OK,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,1,68,,,beni stabili spa siiq,,,,,,
OK,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,79%,Good,1,69,,,bertelsmann se  co kgaa,,,,,,
OK,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,63%,Good,1,70,,,bertelsmann se  kgaa,,,,,,
OK,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,1,71,,,bevco lux sarl,,,,,,
OK,https://permid.org/1-4298251653,BMW Financial Services Belgium NV,23%,Possible,1,72,,,bmw finance nv,,,,,,
OK,https://permid.org/1-4298142340,Borealis AG,92%,Excellent,1,73,,,borealis ag,,,,,,
OK,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,1,74,,,bouygues,,,,,,
OK,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,1,75,,,bouygues sa,,,,,,
OK,https://permid.org/1-5076380855,BP Capital Markets BV,92%,Excellent,1,76,,,bp capital markets bv,,,,,,
OK,https://permid.org/1-4296765192,BP Capital Markets PLC,92%,Excellent,1,77,,,bp capital markets plc,,,,,,
OK,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,1,78,,,brenntag finance bv,,,,,,
OK,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,92%,Excellent,1,79,,,brisa  concessao rodoviaria sa,,,,,,
OK,,,,No Match,,80,,,brisaconcessao rodoviaria sa,,,,,,
