ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,https://permid.org/1-5000936840,2I Rete Gas SpA,92%,Excellent,1,2,,,2i rete gas,,,,,,
OK,https://permid.org/1-5000005309,A2A SpA,92%,Excellent,1,3,,,a2a,,,,,,
OK,https://permid.org/1-4296359510,ABB Inc,20%,Possible,1,4,,,abb finance,,,,,,
OK,https://permid.org/1-4295889666,Abertis Infraestructuras SA,92%,Excellent,1,5,,,abertis infraestructuras,,,,,,
OK,https://permid.org/1-4295875677,Acea SpA,92%,Excellent,1,6,,,acea,,,,,,
OK,https://permid.org/1-4296540298,Achmea Bank NV,25%,Possible,1,7,,,achmea,,,,,,
OK,,,,No Match,,8,,,acs actde constry serv,,,,,,
OK,https://permid.org/1-5046720135,"ACS SERVICIOS COMUNICACIONES Y ENERGIA MEXICO, S.A. DE C.V.",59%,Possible,1,9,,,acs servicios comunicaciones y energia,,,,,,
OK,https://permid.org/1-4298009523,Adecco International Financial Services BV,92%,Excellent,1,10,,,adecco intl fin serv,,,,,,
OK,https://permid.org/1-4295868725,Adidas AG,92%,Excellent,1,11,,,adidas,,,,,,
OK,https://permid.org/1-5046277024,Adler Group SA,92%,Excellent,1,12,,,adler group,,,,,,
OK,https://permid.org/1-5076942662,ADO Properties GmbH,92%,Excellent,1,13,,,ado properties,,,,,,
OK,https://permid.org/1-4295884931,Aegon NV,92%,Excellent,1,14,,,aegon,,,,,,
OK,https://permid.org/1-4295875580,Aeroporti di Roma SpA,92%,Excellent,1,15,,,aeroporti di roma,,,,,,
OK,,,,No Match,,16,,,aeroports de pari,,,,,,
OK,https://permid.org/1-5059341248,Air Liquide AG Finance LP,35%,Possible,1,17,,,air liquide finance,,,,,,
OK,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,1,18,,,air liquide,,,,,,
OK,https://permid.org/1-4295867366,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,92%,Excellent,1,19,,,air liquide,,,,,,
OK,,,,No Match,,20,,,airbus group finance,,,,,,
OK,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,1,21,,,airbus,,,,,,
OK,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,1,22,,,akelius residential property finance,,,,,,
OK,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,1,23,,,akzo nobel,,,,,,
OK,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,1,24,,,albemarle new holding,,,,,,
OK,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,1,25,,,alliander,,,,,,
OK,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54%,Possible,1,26,,,allianz finance ii,,,,,,
OK,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,1,27,,,alstom,,,,,,
OK,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,1,28,,,alstria office reit,,,,,,
OK,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,1,29,,,altarea,,,,,,
OK,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,1,30,,,altareit,,,,,,
OK,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,1,31,,,amadeus capital markets,,,,,,
OK,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,1,32,,,amadeus it group,,,,,,
OK,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67%,Good,1,33,,,amphenol technologies holding,,,,,,
OK,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,1,34,,,anheuser busch inbev,,,,,,
OK,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,1,35,,,anheuser busch inbev,,,,,,
OK,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,1,36,,,anheuser busch inbev,,,,,,
OK,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,1,37,,,anheuser busch inbev,,,,,,
OK,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,1,38,,,apetra,,,,,,
OK,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,1,39,,,aprr,,,,,,
